id,countryId,mainSiteId,type,typeEn,name,nameEn,municipality,municipalityEn,region,regionEn,postCode,addressNomenclature,x,y,servingDays,servingOfficeId,servingHubOfficeId
642202552,642,0,s.,s.,1 DECEMBRIE,1 DECEMBRIE,COM. 1 DECEMBRIE,COM. 1 DECEMBRIE,ILFOV,ILFOV,077005,1,26.060031,44.288061,1111110,959,959
642262318,642,0,s.,s.,1 DECEMBRIE,1 DECEMBRIE,COM. BANCA,COM. BANCA,VASLUI,VASLUI,737026,0,27.809418,46.359791,0101000,911,904
642160669,642,0,s.,s.,2 MAI,2 MAI,COM. LIMANU,COM. LIMANU,CONSTANTA,CONSTANTA,907161,0,28.575294,43.786635,1111110,960,926
642154680,642,0,s.,s.,23 AUGUST,23 AUGUST,COM. ZAVOI,COM. ZAVOI,CARAS-SEVERIN,CARAS-SEVERIN,327436,0,22.396515,45.523393,1111110,928,934
642160605,642,0,s.,s.,23 AUGUST,23 AUGUST,COM. 23 AUGUST,COM. 23 AUGUST,CONSTANTA,CONSTANTA,907005,0,28.583639,43.918723,1111110,960,926
642212735,642,0,s.,s.,23 AUGUST,23 AUGUST,COM. MALOVAT,COM. MALOVAT,MEHEDINTI,MEHEDINTI,227316,0,22.762506,44.716151,1111110,938,914
642999999,642,0,,,<<< N O T   D E F I N E D >>>,<<< N O T   D E F I N E D >>>,-,-,-,-,,2,0.0,0.0,1111110,2,2
642127089,642,0,s.,s.,ABRAM,ABRAM,COM. ABRAM,COM. ABRAM,BIHOR,BIHOR,417005,0,22.379994,47.316792,1111100,921,921
642127178,642,0,s.,s.,ABRAMUT,ABRAMUT,COM. ABRAMUT,COM. ABRAMUT,BIHOR,BIHOR,417015,0,22.254395,47.322958,1111100,921,921
642101160,642,0,or.,or.,ABRUD,ABRUD,OR. ABRUD,OR. ABRUD,ALBA,ALBA,515100,0,23.065029,46.274675,1111110,902,901
642160909,642,0,s.,s.,ABRUD,ABRUD,COM. ADAMCLISI,COM. ADAMCLISI,CONSTANTA,CONSTANTA,907011,0,27.978891,44.145523,0100100,913,913
642101179,642,0,s.,s.,ABRUD-SAT,ABRUD-SAT,OR. ABRUD,OR. ABRUD,ALBA,ALBA,515101,0,23.061093,46.283967,1111110,902,901
642189446,642,0,s.,s.,ABUCEA,ABUCEA,COM. DOBRA,COM. DOBRA,HUNEDOARA,HUNEDOARA,337216,0,22.540973,45.905754,1111100,915,901
642217060,642,0,s.,s.,ABUD,ABUD,COM. GHINDARI,COM. GHINDARI,MURES,MURES,547266,0,24.916361,46.525105,0101000,933,901
642218227,642,0,s.,s.,ABUS,ABUS,COM. MICA,COM. MICA,MURES,MURES,547401,0,24.383033,46.357585,1111110,932,901
642236722,642,0,s.,s.,ACAS,ACAS,COM. ACAS,COM. ACAS,SATU MARE,SATU MARE,447005,0,22.784336,47.539057,1111100,929,901
642214989,642,0,s.,s.,ACATARI,ACATARI,COM. ACATARI,COM. ACATARI,MURES,MURES,547005,0,24.633858,46.479546,1111110,933,901
642102595,642,0,s.,s.,ACHIMETESTI,ACHIMETESTI,COM. AVRAM IANCU,COM. AVRAM IANCU,ALBA,ALBA,517066,0,22.803892,46.384842,0010000,902,901
642245514,642,0,s.,s.,ACILIU,ACILIU,OR. SALISTE,OR. SALISTE,SIBIU,SIBIU,557226,0,23.875602,45.83066,1001000,901,901
642238636,642,0,s.,s.,ACIUA,ACIUA,COM. POMI,COM. POMI,SATU MARE,SATU MARE,447256,0,23.363901,47.681411,1111100,929,901
642111780,642,0,s.,s.,ACIUTA,ACIUTA,COM. PLESCUTA,COM. PLESCUTA,ARAD,ARAD,317261,0,22.451404,46.289168,1111100,903,903
642103413,642,0,s.,s.,ACMARIU,ACMARIU,COM. BLANDIANA,COM. BLANDIANA,ALBA,ALBA,517161,0,23.362486,45.965968,1111100,902,901
642142209,642,0,s.,s.,ACRIS,ACRIS,COM. VAMA BUZAULUI,COM. VAMA BUZAULUI,BRASOV,BRASOV,507246,0,25.992467,45.636729,1011000,930,907
642241045,642,0,s.,s.,ADALIN,ADALIN,COM. DRAGU,COM. DRAGU,SALAJ,SALAJ,457131,0,23.43763,47.013027,1010100,947,901
642176193,642,0,s.,s.,ADAM,ADAM,COM. DRAGUSENI,COM. DRAGUSENI,GALATI,GALATI,807116,0,27.732957,46.028684,1001000,956,908
642160892,642,0,s.,s.,ADAMCLISI,ADAMCLISI,COM. ADAMCLISI,COM. ADAMCLISI,CONSTANTA,CONSTANTA,907010,0,27.954654,44.083439,1111100,913,913
642215085,642,0,s.,s.,ADAMUS,ADAMUS,COM. ADAMUS,COM. ADAMUS,MURES,MURES,547015,0,24.236176,46.304211,1111110,932,901
642167611,642,0,s.,s.,ADANCA,ADANCA,COM. GURA OCNITEI,COM. GURA OCNITEI,DAMBOVITA,DAMBOVITA,137241,0,25.609887,44.922424,1111110,944,926
642172695,642,0,s.,s.,ADANCATA,ADANCATA,COM. GOIESTI,COM. GOIESTI,DOLJ,DOLJ,207311,0,23.740133,44.482335,1111110,914,914
642200763,642,0,s.,s.,ADANCATA,ADANCATA,COM. ADANCATA,COM. ADANCATA,IALOMITA,IALOMITA,927005,0,26.43473,44.769006,1111110,926,926
642246806,642,0,s.,s.,ADANCATA,ADANCATA,COM. ADANCATA,COM. ADANCATA,SUCEAVA,SUCEAVA,727005,0,26.295103,47.735122,1111100,931,931
642136220,642,0,s.,s.,ADASENI,ADASENI,COM. ADASENI,COM. ADASENI,BOTOSANI,BOTOSANI,717016,0,26.937888,48.069198,1001000,953,904
642112073,642,0,s.,s.,ADEA,ADEA,COM. SINTEA MARE,COM. SINTEA MARE,ARAD,ARAD,317301,0,21.58097,46.555518,1111110,903,903
642274879,642,0,or.,or.,ADJUD,ADJUD,MUN. ADJUD,MUN. ADJUD,VRANCEA,VRANCEA,625100,0,27.181047,46.100512,1111110,916,908
642224652,642,0,s.,s.,ADJUDENI,ADJUDENI,COM. TAMASENI,COM. TAMASENI,NEAMT,NEAMT,617466,0,26.949027,47.014085,1111110,904,904
642274897,642,0,s.,s.,ADJUDU VECHI,ADJUDU VECHI,MUN. ADJUD,MUN. ADJUD,VRANCEA,VRANCEA,625101,0,27.188763,46.13487,1111110,916,908
